,moduleLabels,moduleColors
KAP1,0,grey
KAP3,1,turquoise
GBRA5,1,turquoise
DNJA1,0,grey
AKT1,0,grey
QCR1,1,turquoise
3HIDH,0,grey
PUR9,1,turquoise
HNRH3,0,grey
HNRH1,0,grey
CASPE,0,grey
1433B,1,turquoise
1433S,1,turquoise
STIP1,0,grey
S10AB,1,turquoise
L1CAM,1,turquoise
PRDX2,0,grey
GLPK,1,turquoise
NAC1,1,turquoise
RL9,0,grey
ACSL1,0,grey
KINH,3,brown
LSP1,0,grey
DUT,1,turquoise
GCYA2,0,grey
SDC2,5,green
GLYM,0,grey
GBRA3,1,turquoise
HYES,0,grey
HS71L,0,grey
HSP74,6,red
MPI,4,yellow
GPC1,1,turquoise
PROF2,1,turquoise
CTNA1,3,brown
CTNB1,1,turquoise
PHB,1,turquoise
SPB6,1,turquoise
MERL,1,turquoise
RADI,4,yellow
RL22,0,grey
SPRE,0,grey
SCN1A,1,turquoise
SCN4A,1,turquoise
K1C9,9,magenta
FBN1,6,red
FBN2,6,red
GDE,0,grey
MYH9,5,green
MYH10,6,red
COPB2,0,grey
ACTN2,1,turquoise
ADDA,1,turquoise
ADDB,1,turquoise
BASI,0,grey
TIMP3,6,red
FUS,0,grey
MYH11,5,green
GLRX1,0,grey
PPM1A,5,green
K1C20,9,magenta
K22E,9,magenta
HMGCL,0,grey
PRS7,0,grey
CH3L1,0,grey
GGT5,6,red
ARL2,1,turquoise
ARL3,0,grey
TRI23,0,grey
MP2K2,1,turquoise
ATPG,1,turquoise
VATE1,1,turquoise
ARRC,0,grey
RL4,4,yellow
LONM,1,turquoise
PGM1,0,grey
PP1G,1,turquoise
GNL1,1,turquoise
PEDF,0,grey
ODO2,1,turquoise
GMPR1,1,turquoise
GPX4,0,grey
SRP14,0,grey
HPCL1,1,turquoise
TAGL2,6,red
TALDO,3,brown
SYUA,1,turquoise
ETFB,1,turquoise
RBMX,0,grey
GNAL,0,grey
LICH,0,grey
VATA,1,turquoise
GRP75,1,turquoise
IF4A3,0,grey
RS19,0,grey
RL3,0,grey
COIA1,6,red
MPV17,0,grey
OST48,1,turquoise
AN32A,1,turquoise
CAPG,5,green
CAP2,1,turquoise
TXLNA,0,grey
TCPZ,0,grey
RL13A,0,grey
ARL1,4,yellow
STAT3,1,turquoise
MDHC,0,grey
MDHM,1,turquoise
ECHA,1,turquoise
IF2G,4,yellow
CETN2,0,grey
OX2G,0,grey
PERI,5,green
PTGDS,3,brown
IPP2,0,grey
GARS,6,red
SYIC,4,yellow
EIF1,0,grey
PACR,5,green
GRM5,1,turquoise
TSN7,1,turquoise
ACTY,3,brown
ECI1,0,grey
LAP2B,0,grey
STAT1,8,pink
GRIA1,1,turquoise
GRIA2,1,turquoise
GRIA3,1,turquoise
AK1C3,5,green
MTOR,0,grey
PI4KA,1,turquoise
EPS15,4,yellow
DPP6,1,turquoise
ABL2,0,grey
LPPRC,1,turquoise
THIM,0,grey
RL35,4,yellow
PCP,0,grey
HD,1,turquoise
EAA1,3,brown
EAA2,1,turquoise
SATT,3,brown
LIS1,6,red
MUC18,4,yellow
CACP,1,turquoise
MATR3,0,grey
GPDM,1,turquoise
RANG,1,turquoise
NAMPT,1,turquoise
PRS6B,0,grey
EFTS,4,yellow
ACY2,3,brown
VDAC2,1,turquoise
ACDSB,0,grey
UBP5,1,turquoise
MK08,1,turquoise
MK09,0,grey
MP2K4,1,turquoise
KPB2,1,turquoise
KPB1,1,turquoise
RAGP1,0,grey
CRK,3,brown
CRKL,3,brown
BAG6,1,turquoise
GSTM5,0,grey
NSF,1,turquoise
CDN1B,3,brown
RL27A,0,grey
RL5,4,yellow
RL21,3,brown
RL28,4,yellow
RS9,4,yellow
RS5,0,grey
RS10,1,turquoise
MAP1B,3,brown
GNPI1,0,grey
NEDD4,0,grey
UTRO,1,turquoise
IQGA1,0,grey
GLYG,5,green
STT3A,1,turquoise
RPGP1,1,turquoise
CAZA2,1,turquoise
CAPZB,0,grey
IF1AX,0,grey
GBRA2,1,turquoise
GBRB2,1,turquoise
AL1A3,0,grey
SYQ,0,grey
RL29,0,grey
LEG7,9,magenta
UCRI,1,turquoise
ATPO,1,turquoise
GRIA4,1,turquoise
LIMS1,0,grey
S6A12,0,grey
S6A11,1,turquoise
SC6A9,4,yellow
PPCE,5,green
MAOX,0,grey
PI42A,3,brown
COPD,0,grey
PP2BC,1,turquoise
GSH1,3,brown
GSH0,0,grey
CD151,5,green
PCP4,1,turquoise
TPC10,0,grey
PSMD8,0,grey
SPB4,1,turquoise
GSHB,1,turquoise
TCPE,1,turquoise
EAA4,1,turquoise
K2C6C,9,magenta
NEST,0,grey
HSP13,1,turquoise
KC1A,0,grey
KC1D,1,turquoise
IDHP,1,turquoise
PIPNB,0,grey
HSP77,0,grey
MRP,4,yellow
PAXI,0,grey
AL9A1,1,turquoise
RL34,0,grey
FAS,4,yellow
FNTA,4,yellow
TCPG,6,red
ARRB1,0,grey
EFTU,1,turquoise
AMPH,1,turquoise
AL7A1,4,yellow
INPP,0,grey
DHE4,0,grey
SRP09,0,grey
SYAC,3,brown
SYCC,0,grey
SYHM,4,yellow
SYSC,3,brown
PPM1F,1,turquoise
DGKG,0,grey
KC1E,1,turquoise
PSB3,0,grey
PSB2,0,grey
ACADV,0,grey
ACOT2,0,grey
TMEDA,1,turquoise
NUMB,1,turquoise
RGS6,1,turquoise
PSN1,0,grey
EI2BB,0,grey
HINT1,0,grey
FHIT,0,grey
RBP2,0,grey
RGS7,1,turquoise
TSC2,0,grey
NDUV1,1,turquoise
GSK3A,1,turquoise
GSK3B,1,turquoise
5NTC,0,grey
HNMT,1,turquoise
GNAQ,3,brown
IDH3A,1,turquoise
ST1A1,0,grey
ST1A2,0,grey
PPOX,0,grey
GDIB,3,brown
EMD,1,turquoise
CPT1A,5,green
GATM,0,grey
SPB8,1,turquoise
SPB9,1,turquoise
F10A1,1,turquoise
PEX5,0,grey
DYN2,1,turquoise
AP4A,0,grey
CDK9,0,grey
LRBA,0,grey
BCAM,5,green
PPT1,1,turquoise
RL14,0,grey
TCPQ,6,red
TCPD,1,turquoise
AT1A2,1,turquoise
ANX11,0,grey
FXR1,0,grey
RAB5C,3,brown
RAB7A,0,grey
RAB9A,1,turquoise
RAB13,1,turquoise
RB27A,0,grey
PLCD1,1,turquoise
DUS3,1,turquoise
IDH3G,1,turquoise
GALK1,4,yellow
BAP31,1,turquoise
RENBP,1,turquoise
MECP2,1,turquoise
AL3A2,0,grey
SSDH,1,turquoise
DHB4,4,yellow
PSMD7,0,grey
UB2D4,0,grey
GPM6A,1,turquoise
SUOX,0,grey
APLP1,3,brown
UBP11,0,grey
CLCN6,1,turquoise
PLXA3,1,turquoise
DYLT3,0,grey
KS6A3,0,grey
HDGF,1,turquoise
LUM,6,red
PRELP,6,red
CNN1,0,grey
NDUA8,1,turquoise
ROA3,0,grey
6PGD,1,turquoise
HNRPM,1,turquoise
IMA5,0,grey
GDS1,1,turquoise
MP2K6,0,grey
GDIR1,4,yellow
GDIR2,1,turquoise
AGFG1,1,turquoise
HNRPF,0,grey
RIDA,1,turquoise
SPSY,0,grey
HXK2,1,turquoise
HXK3,1,turquoise
RM12,1,turquoise
DGKQ,0,grey
THOP1,0,grey
AK1C2,5,green
CAZA1,0,grey
CRIP2,0,grey
BIEA,0,grey
TXTP,1,turquoise
PPP5,1,turquoise
DAPK1,0,grey
ARFP2,1,turquoise
ACLY,1,turquoise
SUCA,1,turquoise
PGTB2,0,grey
COPB,0,grey
COPA,0,grey
CLH2,1,turquoise
AP3M2,1,turquoise
AP2S1,1,turquoise
MK10,1,turquoise
MOT1,3,brown
IST1,0,grey
SC24C,0,grey
TCP4,1,turquoise
SYRC,1,turquoise
CACB3,4,yellow
CA2D1,1,turquoise
SYYC,5,green
UBP14,0,grey
AAKG1,0,grey
AAPK2,0,grey
HSP72,3,brown
BCAT1,0,grey
AT12A,1,turquoise
AT1B3,5,green
RD23A,0,grey
RD23B,0,grey
PDE1A,1,turquoise
EPHA5,1,turquoise
EPHB1,0,grey
EPHA4,1,turquoise
GALC,1,turquoise
KAD2,1,turquoise
PTN5,1,turquoise
P5CS,1,turquoise
SNAA,5,green
IF5,0,grey
S12A2,3,brown
PSMD4,0,grey
XPO2,3,brown
TERA,0,grey
ECHB,1,turquoise
AQP4,1,turquoise
MANF,0,grey
NCKPL,0,grey
NP1L1,0,grey
ADK,0,grey
DSRAD,0,grey
LAMB2,6,red
CAD11,0,grey
CAD13,1,turquoise
TPD52,5,green
NH2L1,0,grey
PSA,1,turquoise
ALR,1,turquoise
HNRH2,0,grey
SCOT1,1,turquoise
SUMO3,0,grey
EIF3B,0,grey
BID,0,grey
ATPK,1,turquoise
NDUV3,1,turquoise
SYMC,0,grey
ARP19,1,turquoise
AP1S2,1,turquoise
ATP68,1,turquoise
AT5EL,1,turquoise
ATP5I,1,turquoise
HDAC4,0,grey
IF6,0,grey
CTBP2,1,turquoise
NDUA6,1,turquoise
SOX10,3,brown
STX17,1,turquoise
JAM2,1,turquoise
TMM33,5,green
SYJ2B,1,turquoise
PCBP3,0,grey
RAB25,0,grey
CORO7,0,grey
SELB,0,grey
EPIPL,5,green
NRX1B,0,grey
NRX2B,0,grey
MTPN,0,grey
FXYD7,0,grey
RAB15,1,turquoise
DEF3,0,grey
ARPC4,1,turquoise
CD81,4,yellow
TPIS,0,grey
MYPR,3,brown
EIF3E,0,grey
SC61B,0,grey
PP4C,0,grey
GBRL2,1,turquoise
MYL6,1,turquoise
ACTG,0,grey
RAC3,3,brown
IF4A1,0,grey
RS20,0,grey
SNP25,1,turquoise
PRPS1,0,grey
PSA6,0,grey
S10AA,5,green
CDC42,3,brown
DEST,5,green
GMFB,0,grey
RAB8A,1,turquoise
SRP54,0,grey
RAB4B,4,yellow
RAB2A,1,turquoise
RAB5B,3,brown
RAB10,1,turquoise
UB2D3,0,grey
UBC12,0,grey
UBE2K,5,green
UBE2N,1,turquoise
RAB14,1,turquoise
ARP3,1,turquoise
ARP2,1,turquoise
ACTZ,3,brown
CSN2,1,turquoise
ARF1,1,turquoise
ABCE1,0,grey
RAP1B,3,brown
RAP2B,1,turquoise
RS3A,0,grey
RL26,0,grey
STX1B,1,turquoise
RL15,3,brown
FGF12,1,turquoise
RL27,0,grey
VA0D1,1,turquoise
PHS,5,green
RL37A,0,grey
RHOA,3,brown
NCALD,5,green
CH10,1,turquoise
S61A1,1,turquoise
LYSC,0,grey
PFD3,0,grey
STXB1,1,turquoise
B2MG,8,pink
NPC2,1,turquoise
COPZ1,0,grey
SUMO2,0,grey
UFM1,0,grey
AP1S1,1,turquoise
NTF2,3,brown
HNRPK,0,grey
1433G,1,turquoise
UBP46,1,turquoise
RRAS2,5,green
TIM10,1,turquoise
RS7,0,grey
PP1A,1,turquoise
PP1B,1,turquoise
NCS1,1,turquoise
PRS4,1,turquoise
PRS8,0,grey
RS8,4,yellow
RS15A,0,grey
RS16,1,turquoise
1433E,1,turquoise
RS14,1,turquoise
RS23,0,grey
RS18,4,yellow
RS13,0,grey
RS11,4,yellow
RUXF,0,grey
LSM3,3,brown
SMD1,0,grey
SMD2,0,grey
SMD3,1,turquoise
TYB4,0,grey
ARF6,0,grey
PRS10,0,grey
RL7A,0,grey
RB11A,1,turquoise
ERF1,1,turquoise
CNBP,0,grey
RS4X,0,grey
PP2AB,1,turquoise
ACTA,0,grey
RHOB,3,brown
RL23A,5,green
RS6,0,grey
VISL1,1,turquoise
H4,4,yellow
RAB1A,1,turquoise
RAN,0,grey
RL23,0,grey
RAP1A,3,brown
UB2D2,0,grey
RS15,0,grey
RS24,0,grey
RS25,0,grey
RS26,0,grey
RS28,0,grey
GBB1,1,turquoise
RBX1,0,grey
GBB2,1,turquoise
RL30,5,green
RL31,0,grey
RL10A,0,grey
RL32,0,grey
RL11,0,grey
RL8,0,grey
PPIA,3,brown
FKB1A,0,grey
RS27A,3,brown
RL40,3,brown
GRB2,0,grey
TRA2B,0,grey
RAC1,3,brown
AP2B1,1,turquoise
VAMP2,1,turquoise
GNAS1,4,yellow
GNAI1,3,brown
CANB1,1,turquoise
1433Z,1,turquoise
2ABA,5,green
RSMN,1,turquoise
DYL1,3,brown
SKP1,0,grey
GBG3,1,turquoise
RS21,0,grey
IF5A1,0,grey
RACK1,0,grey
ACTH,0,grey
SELW,0,grey
TYB10,0,grey
PP2AA,1,turquoise
YBOX1,1,turquoise
CSK2B,1,turquoise
TPM4,6,red
ACTC,0,grey
UB2L3,3,brown
EF1A1,1,turquoise
ACTS,0,grey
TBA1B,0,grey
TBA4A,0,grey
TBB4B,0,grey
CSK21,1,turquoise
PA1B2,3,brown
H32,0,grey
HBB,5,green
HBG1,1,turquoise
HBG2,1,turquoise
HBA,5,green
CXAR,0,grey
IGBP1,0,grey
SHPS1,1,turquoise
GPC5,0,grey
IF4G2,0,grey
GTF2I,0,grey
DLG4,1,turquoise
PI42B,3,brown
CNTP1,3,brown
SRPK2,5,green
KC1G2,0,grey
TCPB,1,turquoise
KRT83,0,grey
KRT85,0,grey
RAE1L,0,grey
GSTO1,0,grey
KCJ10,0,grey
PRKDC,1,turquoise
MAP1A,3,brown
MT1H,0,grey
MT1X,0,grey
GABT,1,turquoise
BASP1,0,grey
DCD,0,grey
RT36,1,turquoise
RT34,1,turquoise
RT06,0,grey
RT09,0,grey
LACTB,0,grey
RL24,4,yellow
RL36A,0,grey
HPCA,1,turquoise
ARF5,0,grey
ERH,0,grey
RHOG,3,brown
RL19,0,grey
SRSF3,0,grey
H33,0,grey
PGBM,6,red
AT2C1,0,grey
CYC,1,turquoise
2ABB,1,turquoise
EM55,3,brown
TFAM,1,turquoise
PIPNA,1,turquoise
MPCP,1,turquoise
VIGLN,0,grey
CDK6,0,grey
CDK5,1,turquoise
CDK16,0,grey
CDK17,0,grey
PURA,1,turquoise
BORG5,3,brown
CLH1,1,turquoise
FKBP3,0,grey
PLCB2,1,turquoise
REEP5,1,turquoise
DHSO,1,turquoise
HNRPU,1,turquoise
CAC1B,1,turquoise
PDE1B,1,turquoise
SPTB2,1,turquoise
SCN7A,1,turquoise
SRSF2,0,grey
AMPD3,0,grey
AMPD2,1,turquoise
FABP5,1,turquoise
ANK2,1,turquoise
CAP1,1,turquoise
K22O,9,magenta
LAT1,0,grey
PFKAP,1,turquoise
AT2B2,1,turquoise
EWS,0,grey
SC6A3,4,yellow
PLCB3,1,turquoise
TAGL,6,red
GCYB1,1,turquoise
KPCE,1,turquoise
ODO1,1,turquoise
KIFC1,0,grey
CNTN2,3,brown
MMSA,0,grey
BDH,1,turquoise
APBA1,1,turquoise
DSG1,9,magenta
H11,4,yellow
RL18A,0,grey
CACB1,1,turquoise
MP2K1,1,turquoise
FKBP4,0,grey
NUCB1,0,grey
RL6,4,yellow
TOP2B,3,brown
AKA12,3,brown
M2OM,1,turquoise
DYST,3,brown
GSTM4,0,grey
GNA12,4,yellow
CAV1,5,green
ACY1,0,grey
LMNB2,1,turquoise
TAP2,1,turquoise
FHR1,0,grey
UBXN1,3,brown
GLGB,1,turquoise
FOLH1,3,brown
IF4G1,0,grey
K1C17,9,magenta
KPCT,1,turquoise
LGUL,0,grey
AK1C1,5,green
SSBP,1,turquoise
1433F,1,turquoise
PLP2,5,green
DYN1,1,turquoise
DCE2,1,turquoise
FAK1,0,grey
LIPS,3,brown
NMDZ1,1,turquoise
EF1A2,1,turquoise
KPCD,0,grey
CALD1,6,red
COEA1,6,red
EMAL5,0,grey
PTN11,3,brown
KDSR,3,brown
PSME1,5,green
APLP2,1,turquoise
FMR1,0,grey
FMOD,6,red
PRDX1,5,green
CDK18,0,grey
RL18,3,brown
C1QBP,1,turquoise
CKAP4,0,grey
ZO1,0,grey
KHDR1,0,grey
BAX,1,turquoise
KLC1,3,brown
LRP1,1,turquoise
SRSF1,0,grey
RHG01,1,turquoise
ACTN3,1,turquoise
SRSF4,0,grey
PCDH1,1,turquoise
TGM3,0,grey
PP2BA,1,turquoise
DHX9,0,grey
QOR,0,grey
CACB2,4,yellow
LG3BP,3,brown
MFGM,0,grey
DEMA,5,green
DSC1,0,grey
HDHD1,0,grey
CD47,1,turquoise
PPID,0,grey
CAMP2,1,turquoise
SPIR1,1,turquoise
VAC14,1,turquoise
DMWD,1,turquoise
RBBP4,0,grey
1A80,8,pink
KCNA1,3,brown
AHNK,5,green
AP1B1,1,turquoise
MPPA,0,grey
KIF1A,5,green
SCRN1,0,grey
WASC5,0,grey
TWF1,0,grey
ASPH,0,grey
CETN1,0,grey
FBLN3,1,turquoise
KIF5A,3,brown
STX4,3,brown
CNTN1,1,turquoise
SF3A3,0,grey
AIMP1,0,grey
ILF2,0,grey
ILF3,0,grey
LMAN2,0,grey
ELAV2,1,turquoise
TRAP1,0,grey
ANK3,1,turquoise
DLG1,1,turquoise
MYO1E,4,yellow
TP4A2,1,turquoise
ABR,1,turquoise
BNIP2,1,turquoise
BNIP3,0,grey
ECH1,0,grey
RHG05,0,grey
FLII,0,grey
COASY,0,grey
TRDN,1,turquoise
ACACA,1,turquoise
CSN1,6,red
UBP4,0,grey
MTAP,1,turquoise
AAPK1,1,turquoise
LIPA1,1,turquoise
TADBP,0,grey
ROA0,0,grey
PAK1,1,turquoise
AIMP2,0,grey
PRDX4,1,turquoise
PAK2,1,turquoise
CBX3,0,grey
PSMD2,0,grey
NMDE2,1,turquoise
SBP1,1,turquoise
NDK3,1,turquoise
SRSF9,0,grey
SRSF5,0,grey
SRSF6,0,grey
GRM1,0,grey
TIF1B,4,yellow
KCAB2,5,green
PABP4,0,grey
PTPRS,1,turquoise
UT1,4,yellow
EIF3I,0,grey
2A5G,1,turquoise
CTBP1,1,turquoise
AP3B2,1,turquoise
MPP3,0,grey
UB2V1,1,turquoise
RM49,5,green
DC1I2,4,yellow
ILK,5,green
NNTM,1,turquoise
SNTA1,5,green
SF3B2,0,grey
HAP28,0,grey
ADAM9,0,grey
LSAMP,1,turquoise
ROCK1,1,turquoise
GPM6B,4,yellow
PICAL,1,turquoise
MTM1,0,grey
MTX1,1,turquoise
TBB3,3,brown
ASAH1,1,turquoise
PIN1,1,turquoise
KCC2B,1,turquoise
KCC2G,1,turquoise
KCC2D,1,turquoise
DCTN2,3,brown
ULA1,0,grey
ITPK1,0,grey
DGKZ,0,grey
TRA2A,0,grey
SNX1,3,brown
MTMR1,0,grey
CUL1,0,grey
CUL2,0,grey
CUL3,1,turquoise
CUL4A,0,grey
CUL4B,1,turquoise
FCL,0,grey
FHL1,5,green
ITA7,0,grey
AT1A4,1,turquoise
CD166,3,brown
SPTN1,1,turquoise
AUHM,1,turquoise
DX39B,1,turquoise
BLMH,3,brown
BMPR2,0,grey
MOBP,3,brown
SNTB1,1,turquoise
TBB2A,3,brown
IDI1,0,grey
CAYP1,5,green
RGRF1,0,grey
CKAP5,3,brown
CIRBP,0,grey
KCC1A,1,turquoise
COTL1,1,turquoise
HNRPD,0,grey
SCRB2,4,yellow
NID2,0,grey
DPYS,1,turquoise
DAG1,0,grey
PDE1C,0,grey
UBE4A,0,grey
SEPT6,1,turquoise
EIF3A,0,grey
ARHG7,1,turquoise
UBP2L,0,grey
GIT2,0,grey
MLEC,0,grey
TTL12,0,grey
MPP2,1,turquoise
DOC2A,1,turquoise
DOC2B,1,turquoise
DPYL1,1,turquoise
DPYL3,4,yellow
DCTN1,6,red
DYHC1,3,brown
EI2BA,0,grey
IF4A2,0,grey
SRC8,1,turquoise
FLOT2,1,turquoise
RCN2,1,turquoise
FAK2,1,turquoise
FLNC,5,green
FKBP8,1,turquoise
GNA13,4,yellow
GAMT,3,brown
GLPK3,0,grey
GRM2,1,turquoise
CAPR1,1,turquoise
RBM39,0,grey
SPRL1,0,grey
SCN5A,1,turquoise
KT33B,9,magenta
K1H2,9,magenta
KRT81,0,grey
KPRA,4,yellow
HS902,3,brown
ITPR2,1,turquoise
ELAV3,3,brown
ITIH4,7,black
I5P1,1,turquoise
ITPR1,1,turquoise
PLSI,3,brown
EPN4,0,grey
SMC1A,0,grey
DIP2A,0,grey
MESD,0,grey
GANAB,0,grey
RFTN1,0,grey
KCAB1,0,grey
2A5D,1,turquoise
MVP,3,brown
GRM3,1,turquoise
GRM4,6,red
LASP1,1,turquoise
CRYM,1,turquoise
PTGR1,0,grey
GPNMB,1,turquoise
RB39A,0,grey
IMB1,0,grey
NUMA1,4,yellow
OPCM,1,turquoise
GAPD1,0,grey
K2C72,9,magenta
HECAM,1,turquoise
SPCS2,0,grey
PSMD6,0,grey
SEPT2,4,yellow
SART3,1,turquoise
U5S1,0,grey
SYLM,0,grey
AR6P1,1,turquoise
RB3GP,1,turquoise
SYK,0,grey
MLC1,5,green
ARHG6,4,yellow
IF4H,1,turquoise
ACOX1,0,grey
EEA1,5,green
PDIA6,0,grey
PA1B3,5,green
PLCL1,3,brown
PDK2,1,turquoise
PDK3,1,turquoise
PEA15,0,grey
PMVK,1,turquoise
PLEC,5,green
PON2,1,turquoise
2A5B,1,turquoise
IPYR,3,brown
TEBP,4,yellow
NECT1,1,turquoise
NONO,0,grey
PTPA,0,grey
NADC,0,grey
RABE1,5,green
RAB35,1,turquoise
RCN1,0,grey
RBP1,0,grey
K1H1,9,magenta
L2GL1,4,yellow
KS6A2,0,grey
TMED2,0,grey
PCBP1,0,grey
PCBP2,1,turquoise
ELOC,3,brown
ELOB,6,red
EPHA7,0,grey
RHEB,1,turquoise
TOM20,0,grey
RSU1,5,green
RYR3,0,grey
CNN3,5,green
KS6A1,0,grey
SAFB1,1,turquoise
PP1R7,1,turquoise
SC23A,1,turquoise
CYH1,0,grey
SF3A1,0,grey
SKIV2,0,grey
RGN,0,grey
MARE2,0,grey
BGH3,6,red
NHRF2,0,grey
TSN,0,grey
SF01,0,grey
MARE1,0,grey
DLG2,1,turquoise
ELAV1,0,grey
MYLK,0,grey
MK11,0,grey
EFNB3,0,grey
RAB30,0,grey
MLF2,1,turquoise
TOM34,0,grey
ITSN1,1,turquoise
TBCE,0,grey
TBCC,0,grey
NPTX1,1,turquoise
UB2V2,1,turquoise
VAMP3,1,turquoise
NEDD8,0,grey
SCN9A,1,turquoise
CAC1E,4,yellow
VAS1,1,turquoise
RB11B,1,turquoise
ZYX,0,grey
ETFD,0,grey
SYUB,1,turquoise
SEPT7,1,turquoise
ADRM1,0,grey
CCDC6,1,turquoise
NTRK3,0,grey
KCA10,0,grey
S15A2,0,grey
AINX,3,brown
LAMA4,5,green
PSMD5,4,yellow
CSRP2,5,green
DDB1,0,grey
2A5E,1,turquoise
CDC37,1,turquoise
DPYL2,3,brown
SYPL1,4,yellow
KCC4,1,turquoise
CART,0,grey
RBBP7,0,grey
NTRK2,1,turquoise
STX1A,1,turquoise
SRSF7,4,yellow
CPSF6,0,grey
DREB,1,turquoise
MOG,3,brown
FSCN1,3,brown
DECR,1,turquoise
NDUA5,1,turquoise
AT2B3,1,turquoise
THTR,1,turquoise
KGUA,0,grey
GLO2,1,turquoise
H2A2A,3,brown
NDUA9,1,turquoise
MAON,1,turquoise
RTN1,1,turquoise
HCDH,1,turquoise
PTPRN,1,turquoise
UGPA,0,grey
VATF,1,turquoise
F263,1,turquoise
F264,1,turquoise
CGT,1,turquoise
TRXR1,0,grey
TPD53,0,grey
MIC60,1,turquoise
RHG44,1,turquoise
HNRL2,0,grey
T132A,0,grey
INF2,3,brown
1B82,8,pink
1C06,8,pink
1C16,8,pink
K1C24,9,magenta
AAK1,1,turquoise
SGSM1,1,turquoise
RPEL1,1,turquoise
IAH1,0,grey
HKDC1,1,turquoise
IF2GL,4,yellow
S4A8,1,turquoise
1B73,8,pink
MYLK2,0,grey
RA1L2,0,grey
LRRK1,1,turquoise
MA7D1,1,turquoise
UAP1L,1,turquoise
TKFC,4,yellow
CC50B,1,turquoise
HSDL1,1,turquoise
AL1L2,0,grey
K2C71,9,magenta
GRDN,0,grey
RABL6,1,turquoise
TBB8,0,grey
TIM50,1,turquoise
LEGL,1,turquoise
SV2C,1,turquoise
VP26B,1,turquoise
NAKD2,0,grey
ACSF3,0,grey
PPCEL,1,turquoise
TB10B,1,turquoise
ANO6,1,turquoise
GRAP1,1,turquoise
PAP1L,0,grey
S39AC,0,grey
RFTN2,4,yellow
FA98B,0,grey
QORX,1,turquoise
TM35A,1,turquoise
DHB12,3,brown
AGK,1,turquoise
P5CR3,0,grey
EIPR1,1,turquoise
RAB6D,3,brown
CYBR1,0,grey
ACTBL,0,grey
CCD93,0,grey
TPT1L,1,turquoise
OCAD2,1,turquoise
ENPLL,0,grey
H90B4,0,grey
H90B3,0,grey
H90B2,0,grey
HS905,0,grey
HS904,3,brown
FILA2,9,magenta
PRRT3,1,turquoise
HERC4,0,grey
TCAL5,0,grey
PP6R3,0,grey
MTX3,1,turquoise
COQ5,0,grey
RS26L,0,grey
SYEM,1,turquoise
PAP1M,0,grey
TGO1,0,grey
PREP,0,grey
WDR44,4,yellow
RAB41,3,brown
COA6,1,turquoise
TOIP1,0,grey
SYAM,1,turquoise
IQEC2,1,turquoise
UE2NL,1,turquoise
TTC38,0,grey
CF136,0,grey
ATAT,3,brown
SNP47,0,grey
PHYD1,0,grey
HP1B3,4,yellow
CE170,0,grey
CLVS2,1,turquoise
HYI,0,grey
TPRGL,1,turquoise
CHCH2,0,grey
FKB15,0,grey
ATD3C,1,turquoise
CAF17,0,grey
UBR4,0,grey
STXB5,1,turquoise
SKT,0,grey
RHG21,0,grey
KPRP,9,magenta
GP158,1,turquoise
ATD3B,1,turquoise
FRY,0,grey
ATPF1,1,turquoise
SPD2A,4,yellow
DDI2,1,turquoise
SOGA3,1,turquoise
NT5D1,3,brown
SIRBL,1,turquoise
MIC10,0,grey
BIG3,0,grey
VP13D,0,grey
CROCC,0,grey
LYRM7,1,turquoise
VPS53,5,green
STRP1,0,grey
AB17B,3,brown
MARC1,1,turquoise
EF1A3,1,turquoise
F1711,1,turquoise
BROX,1,turquoise
DAB2P,1,turquoise
KHDR2,0,grey
LYPL1,0,grey
CARL1,0,grey
RRAGB,0,grey
K2C79,9,magenta
MIC13,1,turquoise
RN123,0,grey
PLCX3,1,turquoise
TNS2,5,green
KANK2,0,grey
WAC2A,0,grey
LAR1B,5,green
TBC9B,0,grey
MAP1S,1,turquoise
2ABD,5,green
RPGP2,1,turquoise
TENS3,5,green
MBLC2,1,turquoise
LMBD2,1,turquoise
KCD16,1,turquoise
RHG17,0,grey
STUM,1,turquoise
PDPK2,1,turquoise
NB5R2,3,brown
ATLA3,4,yellow
C2D2B,4,yellow
H2B2D,4,yellow
IQEC1,1,turquoise
SUMO4,0,grey
CARL2,1,turquoise
SMYD5,0,grey
RGPA1,4,yellow
